<<<<<<< HEAD
Fecha;Hora;Día;Nº Incidencia;sitrem;Carretera;MC30;Calzada;Localización;Enlace;Tipo de accidente;Tipo de colisión;Nº Vehículos implicados;Nº Turismos;Nº Motocicletas;Nº vehículos pesados;H.L.;hl;hg;vm;Daños al mobiliario urbano;Circulación;Estado del Firme;Presencia Recursos Externos;Corte Carril;Vertido;Grúa usuario;Grúa Propia EMESA;Grúa Movilidad;Factores Atmosféricos;Visibilidad señalización;Señalización de Peligro;Visibilidad restringida por;Aceras;Árboles;Vehículos denominación;Descripción del accidente;Daños causados al viario;Materiales utilizados;Observaciones;;
26/08/2016;15:00;;20160826-0019;C-P-ACC-01;M30;09NL00;INTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;3;3;;;;0;;;No;Densa;Seco y Limpio;P. Municipal;No;No;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-1;Señalizar accidente por alcance en carril izquierdo y policía lo retira fuera de zona, sin daños ni heridos.;;;;;
26/08/2016;15:22;;20160826-0020;C-P-ACC-01;M30;31NC80;INTERIOR;Tronco;Superficie;Colisión de vehículos;Lateral;2;2;;;;0;;;No;Fluida;Seco y Limpio;P. Municipal;Si;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-2;Corto carril derecho por accidente, vehículos se retiran por sus medios.;;;;;
26/08/2016;18:40;;20160826-0028;C-P-ACC-01;M30;04NL80;INTERIOR;VS;Superficie;Colisión de vehículos;Por alcance;2;2;;;;0;;;No;Fluida;Seco y Limpio;P. Municipal;Si;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V1;Señalizar accidente por alcance en carril derecho, sin daños ni heridos. El vehículo 1 se retira por sus medios y el 2 por grúas Ollero;;;;;
28/08/2016;10:17;;20160828-0004;C-P-ACC-01;M30;19NC70;INTERIOR;Tronco;Superficie;Salida de vía;;1;1;;;;0;;;Si;Fluida;Seco y Limpio;P. Municipal;Si;No;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V1;Aviso de salida de vía de un vehículo. No hay heridos;1 farola (mastil y foco), 1 señal direccional, 5 CPNs y 5 barreras;;;;
28/08/2016;22:22;;20160828-0012; C-E-ACC-01;M30;05XL80;EXTERIOR;VS;Superficie;Vuelco;Contra mediana;3;3;;;1;1;;;Si;Densa;Seco y Limpio;P.M., SAMUR y Bomberos;Si;No;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V1 / V2;Vuelco en carriles izquierdos. Herido del vehículo 2 dado de alta en el punto. Accidente provocado por vehículo 1;1 barrera en margen derecho;sepiolita gruesa;;;
29/08/2016;04:56;;20160829-0003; T-E-ACC-01;M30;15NL71;INTERIOR;Tronco;Túnel;Salida de vía;Lateral;1;1;;;1;1;;;Si;Fluida;Seco y Limpio;P.M., SAMUR y Bomberos;Si;No;No;No;Si;Buen Tiempo;Buena;;Sin Restricción;;;AIAM Calderón;Vehículo colisiona lateralmente causando daños;4 metros de muro, 1 metro de bordillo, 7 hitos y 1 luminaria;Sepiolita fina y desengrasante;;;
29/08/2016;07:35;;20160829-0005;T-P-ACC-01;A5;03FT85;ENTRADA;Tronco;Túnel;Colisión de vehículos;Por alcance;2;2;;;;0;;;No;Congestionada;Seco y Limpio;;Si;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;AIAM Portugal;Accidente. Alcance leve entre 2 vehiculos. A nuestra llegada, se solicito a los conductores que arreglasen papeles en apartadero derecho del 18RN. Los vehiculos se retiran del túnel por sus medios. Se desactiva a grúa C-10 al no hacer falta.;;;;;
29/08/2016;15:40;;20160829-0013;C-P-ACC-01;M30;08NL40;INTERIOR;VS;Superficie;Colisión de vehículos;Por alcance;2;2;;;;0;;;No;Fluida;Seco y Limpio;;Si;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;M-3;Accidente en carril derecho. Herido leve, dado de alta en el punto.;;;;;
29/08/2016;18:42;;20160829-0025;;M30;00NC90;INTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;2;2;;;;0;;;No;Densa;Seco y Limpio;P. Municipal;No;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-1;Colisión de 2 vehiculos en arcen derecho, al llegar al punto los vehiculos estan reanudadni la marcha. No datos.;;;;;
29/08/2016;19:30;;20160829-0028; C-E-ACC-01;M30;09NL00;INTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;5;5;;;1;1;;;No;Fluida;Seco y Limpio;P. Municipal y SAMUR;No;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-1/M-3;Accidente en arcen derecho. 1 herido leve dado de alta en el lugar.;;;;;
29/08/2016;19:50;;20160829-0029;;M11;00ML50;SALIDA;Tronco;Superficie;Colisión de vehículos;Por alcance;2;2;;;;0;;;No;Densa;Seco y Limpio;P. Municipal;No;No;;;;Buen Tiempo;Buena;;Sin Restricción;;;M-3;Retirar vehiculos de zona de obras hasta isleta para hacer parte y esperar grúa.;;;;;
30/08/2016;00:55;;20160830-0002;;M30;16NC55;INTERIOR;Tronco;Túnel;Salida de vía;Lateral;1;1;;;;0;;;No;Fluida;Seco y Limpio;;Si;No;No;Si;No;Buen Tiempo;Buena;;Sin Restricción;;;AIAM Calderón;Vehiculo se sale de via, no hay daños, lo cargamos con C-10, sacamos al exterior.;;;;;
30/08/2016;08:13;;20160830-0007;T-P-ACC-01;M30;18RN24;EXTERIOR;Ramal;Túnel;Salida de vía;;2;2;;;;0;;;No;Fluida;Seco y Limpio;;Si;;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;AIAM Portugal;A la llegada los vehículos se retiran por sus medios;;;Cortado el carril derecho desde las 08:16 h hasta las 08:23 h;;
30/08/2016;11:26;;20160830-0009;C-P-ACC-01;M30;00XC80;EXTERIOR;Tronco;Superficie;Colisión de vehículos;Lateral;3;2;;1;;0;;;No;;Seco y Limpio;P. Municipal;Si;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-1;Aviso accidente de 3 vehiculos carril derecho, n ohay heridos, no necesitan grúa.;;;;;
30/08/2016;14:10;;20160830-0012; C-E-ACC-01;M30;10XL30;EXTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;2;2;;;1;1;;;No;Fluida;Seco y Limpio;P. Municipal y SAMUR;Si;No;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-1/V-2/M-3;Colisión de vehiculos en 10+300 con un herido leve trasladado a Hospital La Princesa.;;;;;
30/08/2016;15:30;;20160830-0017;C-P-ACC-01;M30;20XC40;EXTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;2;2;;;;0;;;No;Densa;Seco y Limpio;;No;No;;;;Buen Tiempo;Buena;;Sin Restricción;;;M-3;Retirar vehiculos de carril izquierdo y señalizamos en arcen derecho.;;;;;
30/08/2016;16:03;;20160830-0018;C-P-ACC-01;M30;05NC30;INTERIOR;Tronco;Superficie;;;;;;;;0;;;No;Congestionada;Seco y Limpio;;No;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-1;Aviso de Centro de Control accidente, al llegar al punto los vehiculosestan reanudando la marcha. No datos.;;;;;
30/08/2016;17:05;;20160830-0021; C-E-ACC-01;M30;30XC60;EXTERIOR;Tronco;Superficie;Colisión de vehículos;Lateral;2;2;;;1;1;;;No;Fluida;Seco y Limpio;P. Municipal y SAMUR;Si;No;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-2/M-3;Señalizar vehiculo accidente en carril derecho. Solo quedaba 1 vehiculo herida trasladado a Hospital de Princesa.;;;;;
31/08/2016;08:25;;20160831-0013; C-E-ACC-01;M30;02XL80;EXTERIOR;VS;Superficie;Colisión de vehículos;Por alcance;2;1;1;;1;1;;;No;Densa;Seco y Limpio;P. Municipal y SAMUR;Si;No;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-2;Señalizo accidente con heridos, trasladado leve. Corto carril derecho.;;;;;
31/08/2016;19:40;;20160831-0040;C-P-ACC-01;M30;12NL30;INTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;2;2;;;;0;;;No;Densa;Seco y Limpio;P. Municipal;No;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-1/M-3;Colisión de 2 vehiculos en carril dercho. Usuarios toman datos y reanudan la marcha.;;;;;
31/08/2016;20:14;;20160831-0043;C-P-ACC-01;M30;10NL90;INTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;4;4;;;;0;;;No;Congestionada;Seco y Limpio;P. Municipal;Si;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-1;Colisión de 4 vehiculos en carril derecho.;;;;;
31/08/2016;20:16;;20160831-0044; C-E-ACC-01;M30;10VT10;INTERIOR;Ramal;Superficie;Colisión de vehículos;Por alcance;2;2;;;1;1;;;No;Fluida;Seco y Limpio;P. Municipal y SAMUR;Si;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;M-7;Accidente en carril derecho. Herido leve dadod de alta en el lugar.;;;;;
31/08/2016;20:55;;20160831-0046;C-P-ACC-01;M30;11NL00;INTERIOR;Tronco;Superficie;Colisión de vehículos;Lateral;2;2;;;;0;;;No;Fluida;Seco y Limpio;P. Municipal;Si;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;M-3;Accidente entre 2 vehículos por alcance en el carril derecho. Sin heridos ni daños al patrimonio. Ambos vehículos se retiran por sus medios.;;;Cortado el carril derecho desde las 20:55 h hasta las 21:10 h;;
31/08/2016;21:05;;20160831-0047;C-P-ACC-01;M30;08NL70;INTERIOR;VS;Superficie;Colisión de vehículos;Por alcance;3;3;;;;0;;;No;Congestionada;Seco y Limpio;P. Municipal;No;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-2;Accidente entre 3 vehículos por alcance en el carril izquierdo, cuando llega el vigilante la Policía Municipal se encuentra con dichos vehículos en el arcén y ordenan a este que se retire del punto, no pudo tomar datos.;;;;;
31/08/2016;21:10;;20160831-0049;C-P-ACC-01;M30;10NL80;INTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;4;4;;;;0;;;No;Congestionada;Seco y Limpio;P. Municipal;Si;No;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-1 / M-3;Accidente entre 4 vehículos por alcance en el carril central, estos se trasladan al carril derecho hasta las 22:00 h que se traslada el vehículo que quedaba a la isleta del 11NL20 donde es cargado y retirado por su grúa.;;;Cortado el carril derecho desde las 21:10 h hasta las 22:00 h;;
31/08/2016;21:26;;20160831-0050;C-P-ACC-01;M30;00NL10;INTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;2;2;;;;2;;;No;Congestionada;Seco y Limpio;P. Municipal y SAMUR;No;No;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-2;Accidente entre 2 vehículos por alcance en el carril central, con Policía Municipal son trasladados al arcén derecho. 1 mujer embarazada de 7 meses es trasladada al hospital sin pronosticar.;;;;;
31/08/2016;23:17;;20160831-0052;C-P-ACC-01;M30;10NL00;INTERIOR;Tronco;Superficie;Colisión de vehículos;Lateral;2;2;;;;0;;;No;Fluida;Seco y Limpio;P. Municipal;Si;No;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-2;Accidente entre 2 vehículos por alcance en el carril derecho. Sin heridos ni daños al patrimonio.;;;Cortado el carril derecho desde las 23:27 h hasta las 00:05 h;;
01/09/2016;09:18;;20160901-0010;C-P-ACC-01;M30;08XC60;EXTERIOR;Tronco;Superficie;Colisión de vehículos;Lateral;2;2;;;;0;;;No;Densa;Seco y Limpio;P. Municipal;Si;No;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V1/M4;Accidente lateral de dos vehículos. Carriles izquierdos;;;;;
01/09/2016;15:19;;20160901-0022;C-P-ACC-01;M30;06NC00;INTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;2;2;;;;0;;;No;Congestionada;Seco y Limpio;P. Municipal;Si;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V2;Policía saca los coches a M23, no necesitan nada. Me marcho;;;;;
01/09/2016;17:56;;20160901-0030;C-P-ACC-01;A1;32RL30;ENTRADA;Ramal;Superficie;Colisión de vehículos;Por alcance;3;3;;;;0;;;No;Congestionada;Seco y Limpio;P. Municipal;Si;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V1;Colisión de 3 vehículos en carril derecho;;;;;
01/09/2016;18:40;;20160901-0032;C-P-ACC-01;M30;00NC40;INTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;2;2;;;;0;;;No;;;P. Municipal;Si;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V2;Encuentro coches en carril derecho dándose los datos de los seguros. Señalizo;;;;;
01/09/2016;21:31;;20160901-0038;C-P-ACC-01;M30;09NL00;INTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;2;2;;;;0;;;No;Fluida;Seco y Limpio;P. Municipal;Si;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V1/V2;Colision de 2 vehículos por alcance. Arcén derecho;;;;;
02/09/2016;08:05;;20160902-0005;C-P-ACC-01;M30;11XL10;EXTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;3;3;;;;0;;;No;Congestionada;Seco y Limpio;P. Municipal;Si;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V1/M1;Señalizar accidente de 3 vehículos, sin heridos y no necesitan gruas;;;;;
02/09/2016;13:47;;20160902-0014;C-P-ACC-01;M30;12RV50;EXTERIOR;Ramal;Superficie;Colisión de vehículos;Por alcance;2;2;;;;0;;;No;Congestionada;Seco y Limpio;;Si;No;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V1/V2;Accidente en carril izquierdo. A mi llegada solo queda un vehículo;;;;;
02/09/2016;14:35;;20160902-0016; C-E-ACC-01;M30;03XL90;EXTERIOR;VS;Superficie;Colisión de vehículos;Por alcance;2;2;;;1;1;;;No;Densa;Seco y Limpio;P. Municipal y SAMUR;Si;No;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;M3;Accidente en arcén izquierdo. Herido leve dado de alta en el lugar;;;;;
02/09/2016;14:51;;20160902-0018;T-P-ACC-01;M30;14NL48;INTERIOR;Tronco;Túnel;Colisión de vehículos;Por alcance;2;2;;;;0;;;No;Fluida;Seco y Limpio;;Si;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;Furgón ronda Calderón;Dirección hacia 14XC10 rondas. Nos encontramos un accidente de dos vehículos por alcance en 14NL48. El furgón de rondas y dos agentes señalizan la zona. Los implicados intercambian datos y abandonan el punto por sus medios sin más que destacar.;;;;;
02/09/2016;15:09;;20160902-0019;C-P-ACC-01;M30;12NL30;INTERIOR;Tronco;Superficie;Colisión de vehículos;Lateral;2;1;1;;1;1;;;No;Congestionada;Seco y Limpio;P. Municipal y SAMUR;Si;No;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V1/F64;Colisión de 2 vehículos carril derecho;;;;;
02/09/2016;16:11;;20160902-0023;C-P-ACC-01;M30;07NL20;INTERIOR;VS;Superficie;Colisión de vehículos;Por alcance;2;2;;;;0;;;No;Congestionada;Seco y Limpio;;Si;No;No;Si;No;Buen Tiempo;Buena;;Sin Restricción;;;V2;Accidente de chapa señalizo. Avisamos grúa M30;;;;;
02/09/2016;20:06;;20160902-0033; C-E-ACC-01;M11;01MT00;ENTRADA;Tronco;Superficie;Colisión de vehículos;;2;1;1;;1;1;;;No;Fluida;Seco y Limpio;P. Municipal y SAMUR;Si;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V1/V2;Colisión de 2 vehículos en carril derecho;;;;;
03/09/2016;08:55;;20160903-0006; C-E-ACC-01;M30;09NL90;INTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;3;2;;1;2;2;;;Si;Fluida;Seco y Limpio;P. Municipal y SAMUR;Si;No;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V1;Señalizar accidente por alcance con heridos y daños a patrimonio en carril derecho;2 tramos barandilla, 7 metros de cada tramo, 2 separadores;;;;
04/09/2016;06:45;;20160904-0002;C-P-ACC-01;M11;00MT70;ENTRADA;Tronco;Superficie;Salida de vía;;1;1;;;;0;;;No;Fluida;Seco y Limpio;P. Municipal y P. Nacional;No;No;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V1;Señalizar accidente por salida de via de un vehículo, sin heridos ni daños al patrimonio. Retirado por su grúa.;;;;;
04/09/2016;21:44;;20160904-0016;C-P-ACC-01;M30;29NC00;INTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;2;2;;;;0;;;No;Fluida;Seco y Limpio;P. Municipal;No;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V1;Aviso de accidente en el carril derecho, cuando llega al punto el vigilante la Policía Municipal saca a los 2 vehículos implicados fuera de zona para que los conductores se tomen los datos. Sin heridos ni daños al patrimonio.;;;;;
04/09/2016;23:49;;20160904-0018;C-E-ACC-01;A4;12RR00;ENTRADA;Ramal;Superficie;Colisión de vehículos;Lateral;2;2;;;1;1;;;Si;Fluida;Seco y Limpio;P. Municipal, P. Nacional, Bomberos y SAMUR;Si;No;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V1;Colisión de 1 vehículo implicado en una persecución policial, contra otro vehículo, el vehículo implicado continua la marcha hasta que es interceptado en el Puente de la Princesa, el otro vehículo pierde el control en el ramal 12RR dando 2 vueltas de campana y quedando encima de la barreras del lado derecho. 1 herido leve y el vehículo es retirado por su grúa.;3 Barreras y 2 CPNs;;Corte total del ramal 12RR desde las 23:50 h hasta las 02:08 h;;
05/09/2016;03:08;;20160905-0001; C-E-ACC-01;M30;12RH00;INTERIOR;Ramal;Superficie;Salida de vía;Lateral;1;;1;;1;1;;;No;Fluida;Seco y Limpio;P. Municipal y SAMUR;Si;No;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-1/V-2;Salida de via de motorista en cuneta izquierda, cortamos carril izquierdo hasta que Samur atiende y traslada al usuario al 12 octubre (leve) Moto es retirada por grúa usuario.;;;;;
05/09/2016;07:48;;20160905-0004;C-P-ACC-01;M30;11XL20;EXTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;3;3;;;;1;;;No;Densa;Seco y Limpio;P. Municipal;No;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;M-1;Accidente por alcance en carril izq. Policía los saca a Pte. Vallecas.;;;;;
05/09/2016;08:52;;20160905-0007; C-E-ACC-01;M30;03XC90;EXTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;2;1;1;;;1;;;No;Densa;Seco y Limpio;P. Municipal y SAMUR;No;No;Si;No;Si;Buen Tiempo;Buena;;Sin Restricción;;;M-1;Accidente entre moto y coche,el motorista es trasladado al Gregorio Marañón.;;;;;
05/09/2016;13:25;;20160905-0016;C-P-ACC-01;M30;12RL60;EXTERIOR;Ramal;Superficie;Colisión de vehículos;Por alcance;2;2;;;;0;;;No;Fluida;Seco y Limpio;P. Municipal;No;No;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-1/M-1;Señalizar accidente por alcance en carril izquierdo, sin daños, ni heridos.;;;;;
05/09/2016;21:50;;20160905-0039;C-P-ACC-01;M30;21XC40;EXTERIOR;Tronco;Superficie;Salida de vía;Lateral;1;1;;;;0;;;Si;Fluida;Seco y Limpio;P. Municipal;Si;No;;No;;Buen Tiempo;Buena;;Sin Restricción;;;V-2;Pierde el control y choca contra barrera, margen derecho.;3 barreras, 3 cpns, 1 señal pk21+400 arrancada;;;;
06/09/2016;08:00;;20160906-0006;T-P-ACC-01;M30;10XC80;EXTERIOR;Tronco;Túnel;Colisión de vehículos;Por alcance;3;3;;;;0;;;No;;Seco y Limpio;;No;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;AIAM Calderón;Alcance sin dañps personales, ni materiales. Cortamos carril izquierdo. Los vehiculos salen por sus medios.;;;;;
06/09/2016;10:17;;20160906-0019; T-E-ACC-01;M30;15RR74;INTERIOR;Ramal;Túnel;Otros;;2;;1;1;1;1;;;No;Densa;Seco y Limpio;P. Municipal y SAMUR;Si;Si;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;AIAM Calderón;Posible perdida de control de la moto por derrame de liquido anticongelante del Bus, limpiamos charco. Pronostico leve salvo complicaciones según Samur. La moto es trasladada por Policía Muncipal a su base.;;;;;
06/09/2016;15:27;;20160906-0030;T-P-ACC-01;M30;14RT22;INTERIOR;Ramal;Túnel;Colisión de vehículos;Por alcance;2;2;;;;0;;;No;Fluida;Seco y Limpio;;No;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;AIAM Valencia;Anulada: Accidente entre 2 vehiculos. El Centro de Control anula la incidencia, ya que, los vehiculos reanudan la marcha antes de nuestra llegada.;;;;;
06/09/2016;19:27;;20160906-0045;C-P-ACC-01;M30;09XL60;EXTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;2;2;;;;0;;;No;Fluida;Seco y Limpio;P. Municipal;No;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;M-3;Accidente entre 2 vehículos por alcance ocupando el arcén derecho. Sin daños al patrimonio ni heridos.;;;;;
07/09/2016;07:08;;20160907-0007;T-P-ACC-01;M30;14RR07;EXTERIOR;Ramal;Túnel;Colisión de vehículos;Por alcance;2;2;;;;0;;;No;Fluida;Seco y Limpio;P. Municipal;Si;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;AIAM Calderón;Accidente entre 2 vehículos por alcance. Sin daños al patrimonio ni heridos. Ambos vehículos se retiran por sus medios.;;;Cortado parte del carril del ramal 14RR desde las 07:14 h hasta las 07:20 h;;
07/09/2016;10:13;;20160907-0014;C-P-ACC-01;A2;04AL50;SALIDA;Tronco;Superficie;Colisión de vehículos;Por alcance;2;1;;1;;0;;;No;Densa;Seco y Limpio;P. Municipal;Si;Si;No;Si;No;Buen Tiempo;Buena;;Sin Restricción;;;V-2;Accidente entre 1 autobus y 1 turismo por alcance en el carril izquierdo central. Sin daños al patrimonio ni heridos.;;;Cortado el carril izquierdo central desde las 10:30 h hasta las 11:10 h;;
07/09/2016;12:35;;20160907-0018;  T-E-ACC-01;M30;16RE10;EXTERIOR;Ramal;Túnel;Salida de vía;;1;1;;;;1;;;Si;Fluida;Seco y Limpio;P.M., SAMUR y Bomberos;Si;No;No;No;Si;Buen Tiempo;Buena;;Sin Restricción;;;AIAM Calderón;vehiculo colisiona fronto- lateralmente con cerramiento piedra ramal 16RC, resultando vuelco. Usuarioatrasladado por Samur y Policía se hace cargo del vehiculo.;11 metros vallado-cerramiento granito exterior. 1 metro cerca-cerramiento metalica exterior. 1 metro cuadrado suelo adoquin piedra, ramales 16RE,16RC;;;;
07/09/2016;15:00;;20160907-0026; C-E-ACC-01;M30;19XC50;EXTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;2;2;;;1;1;;;No;Congestionada;Seco y Limpio;P. Municipal y SAMUR;No;No;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;M-6;Señalizar vehiculos en arcen derecho. Herido leve dado de alta en el lugar.;;;;;
08/09/2016;07:08;;20160908-0005; C-E-ACC-01;M30;13NL00;INTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;1;;1;;;1;;;No;Densa;Seco y Limpio;P. Municipal y SAMUR;Si;No;No;Si;No;Buen Tiempo;Buena;;Sin Restricción;;;V-1;Accidente en carril izquierdo. Herido trasladado, pronostico reservado.;;;;;
08/09/2016;12:10;;20160908-0016; C-E-ACC-01;M30;10NL70;INTERIOR;Tronco;Superficie;Colisión de vehículos;Lateral;2;1;1;;;1;;;No;Densa;Seco y Limpio;P. Municipal y SAMUR;Si;No;No;No;Si;Buen Tiempo;Buena;;Sin Restricción;;;V-1;Señalizar accidente lateral con motorista implizcado, sin daños a patrimonio t con un herido con pronostico reservado. El vehiculo nº 1 se retira por sus medios y el 2º grua movilidad.;;;;;
08/09/2016;14:25;;20160908-0021;C-P-ACC-01;M30;07XL90;EXTERIOR;VS;Superficie;Colisión de vehículos;Por alcance;2;2;;;;0;;;No;Densa;Seco y Limpio;P. Municipal;No;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;M-3;Colisión por alcance de 2 vehiculos en arcen derecho hasta retirada de estos por sus medios.;;;;;
08/09/2016;20:29;;20160908-0040;C-P-ACC-01;M30;05NL00;INTERIOR;VS;Superficie;Colisión de vehículos;Por alcance;2;2;;;;0;;;No;Fluida;Seco y Limpio;P. Municipal;Si;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-1;Accidente carril izquierdo, Policía lo retira al ramal 06RA, corto carril derecho, se retiran por sus medios.;;;;;
09/09/2016;09:24;;20160909-0005; T-E-ACC-01;M30;15NC99;INTERIOR;Tronco;Túnel;Colisión de vehículos;Por alcance;2;1;1;;;1;;;No;Fluida;Seco y Limpio;P. Municipal y SAMUR;No;No;No;No;Si;Buen Tiempo;Buena;;Sin Restricción;;;AIAM Calderón;A nuestra llegada Policía ha sacado de calzada a motorista. Samur avisado. No cortamos carril. Policía nos dice que nos retiremos. Usuario trasladado a Hospital. Moto retirada por Policía.;;;;;
09/09/2016;10:23;;20160909-0009; C-E-ACC-01;M30;02XL60;EXTERIOR;VS;Superficie;Colisión de vehículos;Lateral;2;1;1;;1;1;;;No;Fluida;Seco y Limpio;P. Municipal y SAMUR;No;Si;;;;Buen Tiempo;Buena;;Sin Restricción;;;V-1;Señalizar accidente lateral con heriods y sin daños a patrimonio, cortando carril derecho. El herido es trasladado a Hospital Ramón y Cajal como leve.;;1 ñitro desengrasante;;;
09/09/2016;12:20;;20160909-0015;T-P-ACC-01;M30;15RR27;INTERIOR;Ramal;Túnel;Otros;;1;;;;;1;;;No;;Seco y Limpio;P. Municipal y SAMUR;Si;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;AIAM Valencia;Un ciclista se cae en el interior del túnel, requiere atención sanitaria y es atendido por Samur. Samur traslada al usuario. Nosotros nos llevamos bicicleta a dependencias municipales.;;;;;
09/09/2016;14:59;;20160909-0021;C-P-ACC-01;M30;11XL70;EXTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;2;2;;;1;1;;;No;Densa;Seco y Limpio;P. Municipal y SAMUR;Si;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-1;Corto carril derecho por accidente. Herido leve trasladado. Vehiculos se retiran por sus medios.;;;;;
09/09/2016;15:15;;20160909-0023;C-P-ACC-01;A4;05UL10;SALIDA;Tronco;Superficie;Colisión de vehículos;Por alcance;3;3;;;1;1;;;No;Congestionada;Seco y Limpio;P. Municipal y SAMUR;Si;No;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-2;Alcance entre vehiculos en carril derecho. Un herido trasladado por Samur.;;;;;
09/09/2016;16:40;;20160909-0030;;M30;04RL10;EXTERIOR;Ramal;Superficie;Colisión de vehículos;Por alcance;2;2;;;;2;;;No;Congestionada;Seco y Limpio;P. Municipal;Si;No;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-2;Alcance entre vehiculos carril derecho.;;;;;
09/09/2016;17:00;;20160909-0031;C-P-ACC-01;A3;09LL10;SALIDA;VS;Superficie;Colisión de vehículos;Por alcance;3;3;;;;0;;;No;Densa;Seco y Limpio;P. Municipal;Si;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-1;Accidente carril izquierdo, los saco al carril derecho, vehiculos se reitran por sus medios.;;;;;
