FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12;
08/03/2025;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0;
08/03/2025;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0;
08/03/2025;ES10;2-;265;184;161;132;116;134;215;211;311;385;451;447;
08/03/2025;ES10;2=;551;513;567;492;436;495;460;489;490;453;444;362;
08/03/2025;ES11;1-;1315;1040;623;380;230;217;375;924;1362;1801;2525;2717;
08/03/2025;ES11;1=;2937;3370;4092;3601;1970;2067;2637;2805;2716;2729;2233;1504;
08/03/2025;ES11;2-;1468;1132;787;498;383;271;333;690;964;1436;2154;2574;
08/03/2025;ES11;2=;3182;3530;4334;4261;2705;2522;3006;2716;2315;3260;2630;2050;
08/03/2025;ES12;1-;1408;1233;969;879;807;760;672;957;1404;1617;1718;1851;
08/03/2025;ES12;1=;1659;1452;1460;1543;1774;1772;1794;1780;1704;1666;1579;1489;
08/03/2025;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0;
08/03/2025;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0;
08/03/2025;ES13;1-;904;760;604;548;507;530;317;438;635;796;904;1141;
08/03/2025;ES13;1=;1284;1160;848;870;1001;1157;1235;1357;1193;1083;1026;998;
08/03/2025;ES13;2-;1141;1012;768;573;496;511;285;421;607;786;1134;1216;
08/03/2025;ES13;2=;1303;1416;1047;957;1087;1203;1342;1362;1449;1315;1145;1236;
08/03/2025;ES14;1-;135;81;66;56;43;47;57;108;139;203;239;265;
08/03/2025;ES14;1=;336;280;211;165;198;203;256;267;246;157;155;155;
08/03/2025;ES14;2-;86;53;41;41;29;27;28;61;109;131;184;209;
08/03/2025;ES14;2=;248;235;152;143;139;179;169;223;212;152;117;92;
08/03/2025;ES15;1-;230;128;115;91;120;135;165;275;328;399;504;534;
08/03/2025;ES15;1=;614;546;370;348;435;400;384;429;434;332;277;261;
08/03/2025;ES15;2-;119;75;60;61;74;50;92;162;254;334;429;521;
08/03/2025;ES15;2=;646;659;318;249;371;408;428;430;378;212;174;166;
08/03/2025;ES16;1-;909;695;584;496;478;491;311;454;733;847;1032;1230;
08/03/2025;ES16;1=;1408;1310;984;937;1068;1141;1300;1244;1174;1082;1039;1034;
08/03/2025;ES16;2-;655;544;416;367;340;292;249;388;595;820;1035;1285;
08/03/2025;ES16;2=;1405;1294;907;758;937;1155;1204;1248;1199;879;799;752;
08/03/2025;ES17;1-;1184;993;775;684;686;666;652;1080;1634;2058;2394;2579;
08/03/2025;ES17;1=;2731;2558;1708;1698;2203;2551;2565;2683;2358;1596;1434;1254;
08/03/2025;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0;
08/03/2025;ES17;2=;0;0;0;0;0;0;0;0;0;0;0;0;
08/03/2025;ES18;1-;231;177;122;103;78;96;109;212;289;397;513;623;
08/03/2025;ES18;1=;703;561;270;270;434;507;586;628;436;286;239;203;
08/03/2025;ES18;2-;404;294;211;180;144;94;106;147;235;343;466;580;
08/03/2025;ES18;2=;748;698;513;459;420;472;549;618;663;496;461;454;
08/03/2025;ES19;1-;461;429;342;314;303;330;304;359;550;630;770;851;
08/03/2025;ES19;1=;924;841;701;599;737;811;858;879;833;678;627;607;
08/03/2025;ES19;2-;0;0;0;0;0;0;0;0;0;0;0;0;
08/03/2025;ES19;2=;0;0;0;0;0;0;0;0;0;0;0;0;
08/03/2025;ES20;1-;5097;4510;2871;1983;1488;1278;1445;2584;2968;4142;5661;6718;
08/03/2025;ES20;1=;8077;8855;9999;9907;7494;6938;8256;8526;8275;8119;7009;6171;
08/03/2025;ES20;2-;4215;3255;2057;1485;1106;1244;1935;3434;4126;5478;7125;7535;
08/03/2025;ES20;2=;8343;9191;9999;9732;6792;6654;8213;8636;8511;8432;7146;5320;
08/03/2025;ES21;1-;223;142;98;81;102;105;114;191;307;429;542;562;
08/03/2025;ES21;1=;596;574;362;360;424;458;438;477;541;303;291;302;
08/03/2025;ES21;2-;320;256;188;157;190;185;200;383;686;1116;1264;1383;
08/03/2025;ES21;2=;1682;1327;711;757;944;1188;1289;1298;984;513;426;443;
08/03/2025;ES22;1-;651;556;412;334;269;316;351;351;499;668;806;924;
08/03/2025;ES22;1=;907;1039;1010;857;783;902;856;1012;1125;906;732;700;
08/03/2025;ES22;2-;770;607;494;417;295;266;308;274;352;537;740;841;
08/03/2025;ES22;2=;926;1041;935;884;746;915;923;957;1034;897;818;793;
08/03/2025;ES23;1-;1214;1177;946;809;651;588;793;696;838;981;1198;1102;
08/03/2025;ES23;1=;5;69;976;1281;1246;1373;1365;1473;1774;1741;1348;1239;
08/03/2025;ES23;2-;1976;1924;1576;1295;1088;893;995;840;777;1018;1319;1544;
08/03/2025;ES23;2=;1692;1977;1972;1742;1680;1851;1553;1566;1676;1812;1918;2008;
08/03/2025;ES24;1-;479;421;317;244;185;130;143;115;199;312;381;542;
08/03/2025;ES24;1=;674;708;739;564;529;514;573;588;548;540;490;441;
08/03/2025;ES24;2-;353;298;298;230;221;149;157;176;264;330;443;565;
08/03/2025;ES24;2=;582;595;590;460;451;456;512;566;549;491;453;358;
08/03/2025;ES25;1-;162;154;176;174;164;118;105;125;114;126;131;152;
08/03/2025;ES25;1=;218;76;88;115;166;162;113;15;29;183;190;180;
08/03/2025;ES25;2-;0;0;0;0;0;0;0;0;0;0;0;0;
08/03/2025;ES25;2=;0;0;0;0;0;0;0;0;0;0;0;0;
08/03/2025;ES26;1-;266;220;238;205;186;162;127;139;152;177;192;231;
08/03/2025;ES26;1=;283;311;29;327;265;253;257;238;70;347;322;285;
08/03/2025;ES26;2-;334;416;322;314;252;229;212;261;249;326;404;426;
08/03/2025;ES26;2=;347;215;39;386;379;340;317;221;76;361;460;384;
08/03/2025;ES27;1-;2330;2146;1681;1411;1209;1041;1179;1053;1438;1750;2331;2607;
08/03/2025;ES27;1=;2961;3065;2894;2522;2503;2616;2259;1933;2308;2707;2821;2481;
08/03/2025;ES27;2-;767;601;567;450;476;495;460;615;685;796;928;631;
08/03/2025;ES27;2=;46;496;818;881;803;661;527;700;886;939;891;967;
08/03/2025;ES28;1-;179;106;110;87;94;123;169;225;360;491;589;745;
08/03/2025;ES28;1=;741;555;430;434;550;593;524;515;451;355;351;315;
08/03/2025;ES28;2-;218;179;145;127;150;267;290;411;499;572;666;788;
08/03/2025;ES28;2=;897;815;487;507;569;693;730;748;590;415;379;306;
08/03/2025;ES29;1-;1405;997;743;645;545;637;860;884;1011;1235;1453;1775;
08/03/2025;ES29;1=;2005;2085;1858;1556;1488;1535;1539;1595;1664;1505;1388;1373;
08/03/2025;ES29;2-;1243;796;637;533;455;481;787;733;838;990;1248;1325;
08/03/2025;ES29;2=;1019;1552;1496;1340;1231;1364;1338;1351;1628;1395;1198;1081;
08/03/2025;ES30;1-;273;236;175;158;119;99;127;111;154;206;316;362;
08/03/2025;ES30;1=;477;568;425;360;324;356;368;362;371;377;294;268;
08/03/2025;ES30;2-;441;360;323;250;221;180;199;181;293;411;552;588;
08/03/2025;ES30;2=;741;815;677;607;529;665;676;688;754;606;502;419;
08/03/2025;ES31;1-;105;85;64;42;37;20;45;41;70;127;195;220;
08/03/2025;ES31;1=;232;278;263;154;120;156;147;164;168;181;119;94;
08/03/2025;ES31;2-;49;62;61;52;43;40;48;63;84;154;203;222;
08/03/2025;ES31;2=;242;264;247;142;146;151;203;182;182;122;81;82;
08/03/2025;ES32;1-;342;299;266;236;215;189;196;243;294;375;494;583;
08/03/2025;ES32;1=;582;625;621;515;485;501;597;662;683;585;486;411;
08/03/2025;ES32;2-;403;301;256;170;151;130;154;120;153;209;272;344;
08/03/2025;ES32;2=;403;457;398;394;344;359;367;391;385;426;408;355;
08/03/2025;ES33;1-;364;224;146;97;82;124;220;273;280;572;891;1006;
08/03/2025;ES33;1=;1084;1247;1356;739;693;774;921;984;903;807;493;387;
08/03/2025;ES33;2-;263;140;76;65;44;42;73;151;203;388;486;581;
08/03/2025;ES33;2=;665;659;703;424;447;417;440;375;441;398;328;239;
08/03/2025;ES34;1-;256;256;261;248;204;193;154;201;234;280;372;394;
08/03/2025;ES34;1=;382;427;394;453;353;349;350;382;400;386;339;275;
08/03/2025;ES34;2-;0;0;0;0;0;0;0;0;0;0;0;0;
08/03/2025;ES34;2=;0;0;0;0;0;0;0;0;0;0;0;0;
08/03/2025;ES36;1-;717;547;385;395;362;407;300;369;585;772;907;1011;
08/03/2025;ES36;1=;1162;1130;825;877;1014;1033;973;1182;1060;868;823;911;
08/03/2025;ES36;2-;502;364;234;239;250;280;252;402;788;1011;1135;1132;
08/03/2025;ES36;2=;1217;1210;793;948;1145;1183;1361;1331;1140;794;668;595;
08/03/2025;ES37;1-;454;303;245;201;218;295;279;417;601;774;1082;1185;
08/03/2025;ES37;1=;1371;1342;862;890;1035;1023;918;969;853;632;716;692;
08/03/2025;ES37;2-;315;253;187;162;228;343;406;640;1116;1235;1425;1540;
08/03/2025;ES37;2=;1872;1616;898;894;1111;1304;1437;1554;1211;716;620;536;
08/03/2025;ES38;1-;142;79;69;32;28;34;52;98;202;247;353;396;
08/03/2025;ES38;1=;466;545;480;290;268;293;328;368;371;354;192;154;
08/03/2025;ES38;2-;108;57;24;24;21;21;50;94;176;230;312;402;
08/03/2025;ES38;2=;407;450;323;193;240;299;300;314;276;207;132;106;
08/03/2025;ES39;1-;585;496;368;236;193;172;204;360;474;673;1036;1214;
08/03/2025;ES39;1=;1465;1733;2126;2002;1090;1217;1557;1574;1721;1667;1402;871;
08/03/2025;ES39;2-;657;609;366;202;136;110;144;275;409;712;1074;1184;
08/03/2025;ES39;2=;1569;1692;1921;1749;1065;1152;1411;1615;1440;1474;1242;893;
08/03/2025;ES40;1-;658;493;259;271;315;302;329;498;773;1040;1297;1466;
08/03/2025;ES40;1=;1647;1743;1078;982;1215;1337;1338;1392;1363;824;707;732;
08/03/2025;ES40;2-;672;498;389;331;338;392;437;673;877;1108;1239;1393;
08/03/2025;ES40;2=;1714;1674;1099;1004;1140;1208;1297;1340;1400;1022;909;826;
08/03/2025;ES41;1-;381;299;212;235;251;341;333;427;616;738;857;922;
08/03/2025;ES41;1=;1028;1055;790;713;847;847;822;857;781;656;586;538;
08/03/2025;ES41;2-;270;207;162;146;182;189;304;354;583;716;783;909;
08/03/2025;ES41;2=;1068;1029;659;607;722;784;855;847;716;565;470;393;
08/03/2025;ES42;1-;286;207;145;140;130;185;126;161;222;280;380;421;
08/03/2025;ES42;1=;490;422;323;326;334;335;375;356;329;276;300;325;
08/03/2025;ES42;2-;186;161;109;66;87;124;70;122;189;314;432;388;
08/03/2025;ES42;2=;480;520;319;273;368;381;407;442;453;257;253;274;
08/03/2025;ES43;1-;205;177;159;118;127;133;159;265;526;352;408;448;
08/03/2025;ES43;1=;451;562;525;351;352;381;437;429;403;351;287;244;
08/03/2025;ES43;2-;263;186;162;114;97;96;142;185;445;464;329;361;
08/03/2025;ES43;2=;408;472;455;366;358;384;363;385;399;325;299;291;
08/03/2025;ES44;1-;924;852;626;517;440;447;310;470;773;969;1180;1406;
08/03/2025;ES44;1=;1509;1479;1147;1130;1279;1307;1358;1370;1295;1040;888;936;
08/03/2025;ES44;2-;0;0;0;0;0;0;0;0;0;0;0;0;
08/03/2025;ES44;2=;0;0;0;0;0;0;0;0;0;0;0;0;
08/03/2025;ES45;1-;1066;729;529;398;360;403;403;632;838;1082;1276;1616;
08/03/2025;ES45;1=;1982;1673;1328;1268;1419;1448;1475;1649;1390;1372;1217;1194;
08/03/2025;ES45;2-;0;0;0;0;0;0;0;0;0;0;0;0;
08/03/2025;ES45;2=;0;0;0;0;0;0;0;0;0;0;0;0;
08/03/2025;ES46;1-;165;126;122;92;174;252;282;446;661;811;951;955;
08/03/2025;ES46;1=;1073;948;628;750;835;886;859;706;573;508;387;367;
08/03/2025;ES46;2-;236;137;114;89;119;202;250;289;525;667;725;856;
08/03/2025;ES46;2=;993;916;596;544;692;763;743;708;608;591;442;369;
08/03/2025;ES47;1-;314;205;164;156;136;168;233;318;493;603;636;685;
08/03/2025;ES47;1=;712;713;602;599;628;693;670;664;644;545;472;420;
08/03/2025;ES47;2-;312;284;240;255;223;247;269;346;472;582;591;677;
08/03/2025;ES47;2=;717;630;544;570;575;580;619;618;567;501;477;447;
08/03/2025;ES48;1-;215;134;108;103;123;250;279;427;574;658;798;822;
08/03/2025;ES48;1=;897;819;645;634;669;807;836;760;620;532;407;338;
08/03/2025;ES48;2-;198;139;128;88;115;220;201;322;506;635;771;820;
08/03/2025;ES48;2=;905;764;544;556;624;639;700;705;515;419;349;322;
08/03/2025;ES49;1-;200;136;94;106;134;133;198;431;358;416;489;617;
08/03/2025;ES49;1=;873;665;384;372;473;485;509;621;463;348;391;270;
08/03/2025;ES49;2-;114;96;74;61;59;56;54;84;124;178;261;297;
08/03/2025;ES49;2=;339;390;423;265;229;315;315;573;330;314;189;124;
08/03/2025;ES50;1-;181;152;156;90;77;86;93;85;78;121;195;224;
08/03/2025;ES50;1=;261;331;304;258;179;205;205;539;769;545;599;212;
08/03/2025;ES50;2-;222;193;161;135;111;112;96;92;127;245;279;410;
08/03/2025;ES50;2=;390;459;453;304;271;287;296;442;444;388;270;260;
08/03/2025;ES51;1-;151;107;71;69;52;53;59;96;142;232;322;372;
08/03/2025;ES51;1=;397;468;490;273;229;275;304;321;380;397;274;202;
08/03/2025;ES51;2-;109;74;47;43;31;46;43;58;94;194;259;306;
08/03/2025;ES51;2=;336;373;357;222;154;239;256;235;245;228;133;124;
08/03/2025;ES52;1-;208;128;80;51;45;48;60;69;117;268;347;468;
08/03/2025;ES52;1=;504;574;592;405;290;369;468;462;470;370;286;214;
08/03/2025;ES52;2-;183;99;58;39;27;23;36;62;107;158;210;307;
08/03/2025;ES52;2=;337;371;367;234;172;220;234;252;263;219;124;108;
08/03/2025;ES53;1-;143;140;95;108;73;75;78;103;161;180;236;289;
08/03/2025;ES53;1=;307;301;322;285;306;313;273;287;293;264;223;207;
08/03/2025;ES53;2-;252;245;190;176;137;161;168;228;290;352;365;425;
08/03/2025;ES53;2=;451;448;471;458;467;460;453;475;461;385;343;334;
08/03/2025;ES54;1-;109;91;72;56;48;58;59;101;127;185;232;249;
08/03/2025;ES54;1=;258;297;283;231;232;247;249;249;218;218;202;137;
08/03/2025;ES54;2-;173;122;71;62;57;63;84;91;150;234;282;291;
08/03/2025;ES54;2=;290;296;299;298;233;264;284;264;275;254;229;185;
08/03/2025;ES55;1-;98;60;45;38;43;27;59;80;105;189;214;278;
08/03/2025;ES55;1=;252;301;276;218;208;217;230;241;200;196;158;122;
08/03/2025;ES55;2-;71;44;31;23;16;26;46;55;78;149;209;231;
08/03/2025;ES55;2=;236;260;286;173;152;177;174;193;176;172;150;107;
08/03/2025;ES56;1-;38;43;38;33;41;62;71;139;213;185;237;248;
08/03/2025;ES56;1=;239;224;165;161;195;184;238;201;147;117;110;101;
08/03/2025;ES56;2-;51;31;27;19;24;44;43;67;66;115;102;162;
08/03/2025;ES56;2=;162;162;114;133;105;118;141;127;96;101;85;65;
08/03/2025;ES57;1-;137;59;40;49;49;72;95;195;289;430;554;614;
08/03/2025;ES57;1=;590;572;400;432;542;443;555;515;500;420;355;325;
08/03/2025;ES57;2-;74;39;37;27;26;75;95;147;339;456;564;649;
08/03/2025;ES57;2=;646;600;372;443;579;638;615;558;435;241;150;134;
08/03/2025;ES58;1-;69;32;30;38;41;63;84;131;240;381;347;402;
08/03/2025;ES58;1=;373;318;193;204;237;282;239;219;192;124;129;98;
08/03/2025;ES58;2-;48;25;21;25;30;35;43;158;200;239;249;260;
08/03/2025;ES58;2=;313;225;167;142;141;161;187;192;175;109;128;73;
08/03/2025;ES59;1-;73;41;37;26;41;62;79;114;150;162;216;240;
08/03/2025;ES59;1=;286;232;180;163;181;213;198;216;190;165;149;104;
08/03/2025;ES59;2-;39;29;26;24;35;60;60;96;142;184;190;237;
08/03/2025;ES59;2=;232;190;145;147;162;173;170;158;130;103;90;62;
08/03/2025;ES60;1-;98;66;50;45;42;66;93;171;305;446;473;498;
08/03/2025;ES60;1=;460;404;229;235;297;382;345;332;255;168;146;149;
08/03/2025;ES60;2-;114;71;50;44;45;53;82;143;250;391;428;480;
08/03/2025;ES60;2=;546;460;340;270;362;387;391;426;388;234;203;215;
09/03/2025;ES01;1-;819;548;471;411;385;260;63;72;44;6;257;506;
09/03/2025;ES01;1=;882;967;953;861;845;858;1048;853;722;641;477;325;
09/03/2025;ES01;2-;721;584;394;327;345;316;169;218;77;13;490;737;
09/03/2025;ES01;2=;962;828;813;799;838;984;1214;871;659;495;357;295;
09/03/2025;ES02;1-;374;462;402;332;316;278;219;178;176;177;227;382;
09/03/2025;ES02;1=;405;422;392;420;392;418;374;388;341;340;306;275;
09/03/2025;ES02;2-;1086;1093;850;695;616;506;539;415;412;556;715;990;
09/03/2025;ES02;2=;1019;1118;1103;1049;1016;1024;1001;1151;1117;1020;782;697;
09/03/2025;ES03;1-;464;442;311;220;158;158;187;327;371;476;769;1319;
09/03/2025;ES03;1=;1343;1382;1333;1033;797;1054;1157;1087;1029;874;506;289;
09/03/2025;ES03;2-;400;271;200;118;122;96;103;158;235;282;368;557;
09/03/2025;ES03;2=;717;827;879;748;520;603;724;927;812;858;409;233;
09/03/2025;ES04;1-;432;388;282;180;150;159;179;171;173;286;536;669;
09/03/2025;ES04;1=;812;1003;1016;923;622;726;889;874;910;656;410;317;
09/03/2025;ES04;2-;287;214;144;102;105;88;85;115;153;236;333;447;
09/03/2025;ES04;2=;446;535;516;346;301;448;475;429;478;803;281;160;
09/03/2025;ES05;1-;1950;1548;1271;1141;979;854;928;807;616;701;980;1273;
09/03/2025;ES05;1=;1560;1676;1779;1594;1640;1827;1845;2202;1887;1641;1448;1279;
09/03/2025;ES05;2-;683;557;387;317;280;312;473;442;524;615;795;1085;
09/03/2025;ES05;2=;1218;1268;1271;992;998;1303;1295;1264;1134;1043;773;655;
09/03/2025;ES06;1-;131;85;51;44;38;59;101;128;164;289;415;487;
09/03/2025;ES06;1=;618;531;418;358;415;513;471;423;291;187;119;56;
09/03/2025;ES06;2-;131;83;67;54;37;54;82;133;185;304;352;515;
09/03/2025;ES06;2=;530;473;280;352;377;449;542;383;245;152;120;50;
09/03/2025;ES07;1-;966;725;512;456;308;304;456;383;488;572;1064;1577;
09/03/2025;ES07;1=;1801;2228;2107;1612;1553;1748;2153;2304;1936;1587;1147;756;
09/03/2025;ES07;2-;849;572;409;338;267;377;636;684;668;856;1276;1566;
09/03/2025;ES07;2=;1722;2003;1831;1250;1268;1638;1746;1917;1536;1308;818;477;
09/03/2025;ES08;1-;821;875;791;741;705;605;589;563;505;202;517;711;
09/03/2025;ES08;1=;740;776;737;732;793;753;683;752;776;754;610;553;
09/03/2025;ES08;2-;751;810;795;722;722;643;542;539;538;341;545;768;
09/03/2025;ES08;2=;786;794;788;774;778;780;737;722;767;786;624;576;
09/03/2025;ES09;1-;650;658;626;589;549;501;435;393;444;511;612;719;
09/03/2025;ES09;1=;761;751;698;674;647;658;613;562;688;570;488;441;
09/03/2025;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0;
09/03/2025;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0;
09/03/2025;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0;
09/03/2025;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0;
09/03/2025;ES10;2-;344;251;183;179;124;124;191;150;223;269;372;464;
09/03/2025;ES10;2=;453;507;481;442;457;466;502;462;421;443;321;249;
09/03/2025;ES11;1-;1237;1118;643;395;258;215;299;726;981;1160;1480;2078;
09/03/2025;ES11;1=;2602;3052;3555;3198;1992;2136;2765;2966;3085;2582;2083;1310;
09/03/2025;ES11;2-;1511;1228;797;540;356;289;291;585;707;1038;1360;1982;
09/03/2025;ES11;2=;2754;3344;3913;3368;2492;2684;3464;3918;4247;3357;2442;1648;
09/03/2025;ES12;1-;1370;1167;988;859;784;618;554;640;653;668;1629;1761;
09/03/2025;ES12;1=;1792;1849;1684;1461;1415;1158;1031;1672;1506;1290;951;594;
09/03/2025;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0;
09/03/2025;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0;
09/03/2025;ES13;1-;943;796;686;583;541;457;258;281;359;95;566;838;
09/03/2025;ES13;1=;918;843;656;833;896;957;923;900;755;616;399;299;
09/03/2025;ES13;2-;1129;1008;861;652;535;444;205;234;292;368;697;855;
09/03/2025;ES13;2=;1050;1011;926;941;1004;978;1076;995;842;645;577;401;
09/03/2025;ES14;1-;101;95;63;53;50;32;31;62;91;132;168;192;
09/03/2025;ES14;1=;209;246;174;132;178;183;179;167;136;101;63;40;
09/03/2025;ES14;2-;76;56;34;31;28;23;24;31;51;97;114;168;
09/03/2025;ES14;2=;185;179;115;95;126;123;155;133;96;61;60;43;
09/03/2025;ES15;1-;204;148;109;106;88;102;109;177;254;361;442;389;
09/03/2025;ES15;1=;526;499;299;330;424;650;533;436;391;235;169;128;
09/03/2025;ES15;2-;127;88;38;51;45;41;67;99;120;140;230;400;
09/03/2025;ES15;2=;582;493;477;279;389;433;408;425;308;187;125;73;
09/03/2025;ES16;1-;939;761;604;516;445;412;243;294;440;538;804;990;
09/03/2025;ES16;1=;1143;1093;849;996;1065;1097;1079;965;767;663;516;396;
09/03/2025;ES16;2-;700;567;458;388;300;257;216;231;410;545;826;918;
09/03/2025;ES16;2=;1126;1085;759;757;893;943;963;824;642;454;365;242;
09/03/2025;ES17;1-;1097;804;668;633;556;506;529;612;873;1204;2101;2480;
09/03/2025;ES17;1=;2929;2772;2127;1847;2318;2446;2175;2118;1750;1296;835;477;
09/03/2025;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0;
09/03/2025;ES17;2=;0;0;0;0;0;0;0;0;0;0;0;0;
09/03/2025;ES18;1-;201;190;141;91;74;66;85;138;200;348;482;582;
09/03/2025;ES18;1=;614;584;409;313;345;405;381;350;241;161;90;76;
09/03/2025;ES18;2-;369;287;210;137;139;113;60;96;169;206;361;454;
09/03/2025;ES18;2=;587;567;438;445;503;564;620;560;472;341;260;152;
09/03/2025;ES19;1-;532;465;403;340;292;310;240;301;515;728;723;741;
09/03/2025;ES19;1=;835;837;651;689;751;999;881;697;584;460;326;278;
09/03/2025;ES19;2-;0;0;0;0;0;0;0;0;0;0;0;0;
09/03/2025;ES19;2=;0;0;0;0;0;0;0;0;0;0;0;0;
09/03/2025;ES20;1-;5397;4716;3089;2162;1607;1248;1352;2215;2248;2820;3743;5214;
09/03/2025;ES20;1=;6608;7941;9080;8660;7161;7186;8016;9343;9396;8172;6447;4822;
09/03/2025;ES20;2-;4576;3728;2447;1630;1225;1255;1648;2974;3111;3187;4454;6283;
09/03/2025;ES20;2=;8200;9070;9999;9999;7172;7165;8508;8916;9023;8112;6721;4673;
09/03/2025;ES21;1-;207;148;93;94;114;87;93;138;245;335;439;488;
09/03/2025;ES21;1=;630;604;470;430;419;710;524;435;360;228;151;83;
09/03/2025;ES21;2-;366;268;189;152;144;130;163;253;405;732;1240;1269;
09/03/2025;ES21;2=;1485;1470;1019;798;931;1555;1760;1171;673;462;327;485;
09/03/2025;ES22;1-;678;573;487;339;276;283;337;327;304;476;554;727;
09/03/2025;ES22;1=;884;847;841;685;690;859;819;815;818;639;459;374;
09/03/2025;ES22;2-;725;582;459;413;330;286;294;303;273;404;622;798;
09/03/2025;ES22;2=;974;927;952;760;769;849;798;862;819;721;594;526;
09/03/2025;ES23;1-;1227;1166;996;889;764;684;793;552;518;191;26;17;
09/03/2025;ES23;1=;20;32;6;21;831;1286;1399;1311;1371;1157;966;782;
09/03/2025;ES23;2-;2167;1821;1629;1488;1281;1139;1034;763;556;519;894;1217;
09/03/2025;ES23;2=;1382;1548;1591;1624;1635;1627;1599;2074;1683;1549;1283;1197;
09/03/2025;ES24;1-;494;420;361;248;226;177;157;117;150;259;412;511;
09/03/2025;ES24;1=;602;631;548;492;475;516;521;488;462;392;321;268;
09/03/2025;ES24;2-;358;342;328;295;233;187;160;164;194;291;476;669;
09/03/2025;ES24;2=;689;643;571;445;369;444;430;395;419;305;267;216;
09/03/2025;ES25;1-;162;181;165;168;158;131;124;118;110;58;123;162;
09/03/2025;ES25;1=;167;170;161;144;145;149;132;145;165;154;151;125;
09/03/2025;ES25;2-;0;0;0;0;0;0;0;0;0;0;0;0;
09/03/2025;ES25;2=;0;0;0;0;0;0;0;0;0;0;0;0;
09/03/2025;ES26;1-;277;251;257;221;195;173;143;137;117;170;211;175;
09/03/2025;ES26;1=;255;253;211;247;249;239;197;270;250;265;184;168;
09/03/2025;ES26;2-;366;363;346;295;288;256;212;236;221;236;312;360;
09/03/2025;ES26;2=;393;384;412;405;399;376;344;387;392;370;318;270;
09/03/2025;ES27;1-;2488;2179;1699;1602;1409;1330;1326;1189;1204;1237;2234;2893;
09/03/2025;ES27;1=;3170;2834;2967;2656;2495;2322;2347;2483;2345;2017;1806;1458;
09/03/2025;ES27;2-;835;754;715;648;608;615;525;536;356;718;889;966;
09/03/2025;ES27;2=;1044;906;893;921;946;893;932;905;783;652;487;440;
09/03/2025;ES28;1-;174;150;83;62;81;116;122;169;215;372;500;575;
09/03/2025;ES28;1=;664;629;424;473;523;582;599;509;416;303;209;155;
09/03/2025;ES28;2-;224;160;163;133;160;234;228;281;352;460;549;667;
09/03/2025;ES28;2=;726;730;519;522;598;607;713;648;452;437;344;246;
09/03/2025;ES29;1-;1305;993;802;670;606;605;801;689;740;1302;1718;1989;
09/03/2025;ES29;1=;2054;1986;1916;2110;1747;1790;1741;1686;1587;1323;1094;1114;
09/03/2025;ES29;2-;1074;802;625;563;480;458;771;663;640;809;998;1147;
09/03/2025;ES29;2=;1298;1195;1166;1024;1169;1443;1428;1392;1454;1228;1092;982;
09/03/2025;ES30;1-;254;254;198;142;132;108;120;118;131;132;219;288;
09/03/2025;ES30;1=;343;394;377;291;269;334;337;341;366;297;258;202;
09/03/2025;ES30;2-;443;375;350;258;224;184;199;243;266;284;371;577;
09/03/2025;ES30;2=;785;722;649;488;434;643;582;547;537;454;390;294;
09/03/2025;ES31;1-;106;73;48;34;23;37;32;24;49;75;164;190;
09/03/2025;ES31;1=;196;275;217;140;116;153;208;206;198;181;86;56;
09/03/2025;ES31;2-;77;55;61;52;45;34;46;51;65;113;145;175;
09/03/2025;ES31;2=;237;229;190;100;109;182;194;157;172;127;85;58;
09/03/2025;ES32;1-;406;354;320;284;209;196;232;231;290;298;385;625;
09/03/2025;ES32;1=;610;593;535;435;380;475;501;513;532;416;315;190;
09/03/2025;ES32;2-;461;327;264;184;171;164;185;126;124;162;218;279;
09/03/2025;ES32;2=;370;420;411;400;393;384;353;374;365;284;308;231;
09/03/2025;ES33;1-;315;216;157;94;85;100;147;193;229;392;579;825;
09/03/2025;ES33;1=;1007;1070;1086;776;684;779;1037;1104;862;704;440;277;
09/03/2025;ES33;2-;214;136;84;59;58;50;80;98;144;242;364;482;
09/03/2025;ES33;2=;533;647;624;448;464;561;713;746;576;466;312;173;
09/03/2025;ES34;1-;291;294;288;286;252;233;186;209;212;279;346;360;
09/03/2025;ES34;1=;364;313;264;268;268;298;254;244;314;248;190;171;
09/03/2025;ES34;2-;0;0;0;0;0;0;0;0;0;0;0;0;
09/03/2025;ES34;2=;0;0;0;0;0;0;0;0;0;0;0;0;
09/03/2025;ES36;1-;792;537;408;374;332;329;174;206;101;105;579;855;
09/03/2025;ES36;1=;1125;1191;874;969;881;235;953;974;758;563;412;237;
09/03/2025;ES36;2-;448;371;237;237;231;267;183;194;7;96;872;1151;
